y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
1.000356554,1.006335745,0.999146446,0.995318563,0.997409464,1.002005536,0.99484667,0.992904964,0.997800825,1.011092817
0.998930227,1.006435478,0.984586279,0.967859966,0.986898534,1.001334368,1.000518012,1,1.006661546,0.993092201
1.009719207,1.01760651,1.01757892,1.060475156,1.006218557,0.994935556,1.009319198,1.022391495,0.996716415,1.011661187
0.993583033,0.982165192,0.987618179,0.981160926,1.006181392,1.001741821,0.994357497,0.983690659,0.99495805,0.983013086
0.993583033,0.982165192,0.987618179,0.981160926,1.006181392,1.001741821,0.994357497,0.983690659,0.99495805,0.983013086
0.986365069,1.003874072,0.998235769,0.912298897,1.005670433,1.016448275,0.988908942,0.983420194,0.995083151,0.992594105
1.009821738,1.005254307,0.99804467,1.027019348,1.019852107,1.008550955,1.005477284,1.006743818,1.013915987,1.013678965
0.985951012,0.988820992,0.979089733,0.952090807,1.031444178,0.978737245,0.988586287,0.988516594,0.982197054,0.975260278
0.985951012,0.988820992,0.979089733,0.952090807,1.031444178,0.978737245,0.988586287,0.988516594,0.982197054,0.975260278
1,0.999190605,0.998037531,1.001454367,0.999106875,1.008263745,1.012595107,0.997579796,1.008252798,0.997903497
1,0.999190605,0.998037531,1.001454367,0.999106875,1.008263745,1.012595107,0.997579796,1.008252798,0.997903497
1.016076206,1.012213191,1.014998455,1.019459748,1.017436061,1.02260414,1.02617254,1.013585924,1.016019098,1.035294872
1.016076206,1.012213191,1.014998455,1.019459748,1.017436061,1.02260414,1.02617254,1.013585924,1.016019098,1.035294872
0.999640129,1.001775521,1.003874617,0.992307706,1.005712418,0.994053604,0.992676841,0.99856372,0.992586126,0.992694597
0.999640129,1.001775521,1.003874617,0.992307706,1.005712418,0.994053604,0.992676841,0.99856372,0.992586126,0.992694597
1.005395904,1.006228158,1.005562469,0.994832005,1.01125053,1.004941819,1.013228197,0.998561898,1.010356629,0.999795548
1.007155408,1.01899055,1.027733929,1.026839878,1.001620535,0.997541066,1.015817154,0.995679663,1.011236951,1.003884477
1.007105059,1.020815593,1.00908056,1.030073039,1.007656332,1.020366079,1.024715769,1.023143555,1.00653039,1.007942995
1.007105059,1.020815593,1.00908056,1.030073039,1.007656332,1.020366079,1.024715769,1.023143555,1.00653039,1.007942995
0.99082874,0.991390405,0.993468547,1.02837656,0.998180705,1.005339223,0.995899706,1.023562497,1.008957777,1.010911064
1.001779876,1.001467404,1.000328748,1.014327381,0.996569155,1.024911748,1.005085955,1.003683251,1.004990584,1.01199299
0.995025186,0.99870289,1.001131888,1.006277774,1.000537785,1.00222089,1,1.001376325,1.004584373,0.991507141
0.995025186,0.99870289,1.001131888,1.006277774,1.000537785,1.00222089,1,1.001376325,1.004584373,0.991507141
0.995357172,1.003968612,0.989241035,1.01637645,0.983225966,1.021051147,0.999518061,1.002290257,0.998573744,1.005577513
1.001435075,0.991363399,1.010654754,1.000511472,1.003390174,1.014709119,0.998071407,0.991773403,1.002237306,0.996038396
1.0003585,0.997220907,1.003538472,0.996421283,0.997711023,1.007010666,1.004589339,0.994470149,1.007171789,0.997613134
1.0003585,0.997220907,1.003538472,0.996421283,0.997711023,1.007010666,1.004589339,0.994470149,1.007171789,0.997613134
1.007879267,0.995432057,0.965975979,0.945356578,1.006991369,0.998466239,1.000721298,1.000463099,1.017636429,1.01674647
