LOCATION_ID,SAMPLE_DATE,ANALYTICAL_METHOD,PARAMETER_NAME,PARAMETER_CODE,ANALYSIS_TYPE_CODE,SAMPLE_PURPOSE,FIELD_PREPARATION_CODE,DETECT_FLAG,REPORT_RESULT,REPORT_METHOD_DETECTION_LIMIT,REPORT_DETECTION_LIMIT,,,REPORT_UNITS,DILUTION_FACTOR,SAMPLE_TYPE,LAB_QUALIFIER,VALIDATION_QUALIFIER,VALIDATION_REASON_CODES,BEST_VALUE_FLAG,LAB_ID,FIELD_SAMPLE_ID,SAMPLE_USAGE_CODE,SAMPLING_PLAN_NAME,CHAIN_OF_CUSTODY_NO,SAMPLE_TIME,,,,
LAOI-3.2,07/25/2006,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.1,1.01,,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,GU060700G32L01,,,167998,10:10,,,,"LAOI-3.238923Dioxane[1,4-]10.1GU060700G32L0110:10"
LAOI-3.2,10/12/2006,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.3,1.03,,,,ug/L,1,WG,U,UJ,SV16,Y,GELC,GU061000G32L01,,,174113,13:35,,,,"LAOI-3.239002Dioxane[1,4-]10.3GU061000G32L0113:35"
LAOI-3.2,04/19/2007,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.2,1.02,,,,ug/L,1,WG,U,UJ,SV16,Y,GELC,GU070400G32L01,,,184713,09:25,,,,"LAOI-3.239191Dioxane[1,4-]10.2GU070400G32L0109:25"
LAOI-3.2,07/26/2007,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,20,2,,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,GU070700G32L01,,,190355,10:45,,,,"LAOI-3.239289Dioxane[1,4-]20GU070700G32L0110:45"
LAOI-3.2,01/15/2008,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.4,1,10,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-08-9882,INV,LA Watershed GW Sampling Event 2 Jan. 2008,08-512,10:50,,,,"LAOI-3.239462Dioxane[1,4-]10.4CALA-08-988210:50"
LAOI-3.2,08/28/2008,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,11.1,1.1,11,,,ug/L,1,WG,U,UJ,SV7c,Y,GELC,CALA-08-13888,SCR,"Los Alamos Watershed Sampling Q1 July 2008, IFWGWMP 2008",08-1809,11:00,,,,"LAOI-3.239688Dioxane[1,4-]11.1CALA-08-1388811:00"
LAOI-3.2,08/23/2010,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10,2,10,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-10-25220,INV,"Los Alamos Watershed Sampling Q1, August 2010, IFWGMP 2010",10-4312,17:00,,,,"LAOI-3.240413Dioxane[1,4-]10CALA-10-2522017:00"
LAOI-3.2,03/22/2011,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.6,2.1,11,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-11-5115,INV,"Los Alamos Watershed Sampling Q3, March 2011, 2010 Interim Plan",11-1724,15:09,,,,"LAOI-3.240624Dioxane[1,4-]10.6CALA-11-511515:09"
LAOI-3.2,08/13/2013,SW-846:8270D_SIM,"Dioxane[1,4-]",123-91-1,,REG,UF,Y,0.7,0.16,1,,,ug/L,,WG,J,J,,,ALSK,LAOI-3.2-8-13-13-DIOX,,,,13:19,,,,"LAOI-3.241499Dioxane[1,4-]0.7LAOI-3.2-8-13-13-DIOX13:19"
LAOI-3.2,09/03/2014,SW-846:8270D,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,12.3,3.7,12.3,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-14-86011,INV,LA/Pueblo (TA-21) Q4 MY2014 Sampling Event,2014-4474,13:59,,,,"LAOI-3.241885Dioxane[1,4-]12.3CALA-14-8601113:59"
LAOI-3.2,09/18/2015,SW-846:8270D,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,5.1,1.53,5.1,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-15-103978,INV,LA/Pueblo (TA-21) and LAC Q4 MY2015 Sampling Event,2015-2357,13:23,,,,"LAOI-3.242265Dioxane[1,4-]5.1CALA-15-10397813:23"
LAOI-3.2,08/24/2016,SW-846:8270D,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,5.49,1.65,5.49,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-16-124848,INV,LA/Pueblo (TA-21) 2016 Q4 sampling,2016-2179,15:30,,,,"LAOI-3.242606Dioxane[1,4-]5.49CALA-16-12484815:30"
LAOI-3.2a,07/26/2006,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.4,1.04,,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,GU06070GI32A01,,,168090,11:35,,,,"LAOI-3.2a38924Dioxane[1,4-]10.4GU06070GI32A0111:35"
LAOI-3.2a,10/13/2006,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10,1,,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,GU06100GI32A01,,,174177,10:00,,,,"LAOI-3.2a39003Dioxane[1,4-]10GU06100GI32A0110:00"
LAOI-3.2a,02/16/2007,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.1,1.01,,,,ug/L,1,WG,U,UJ,SV16,Y,GELC,GU07020GI32A01,,,180976,10:38,,,,"LAOI-3.2a39129Dioxane[1,4-]10.1GU07020GI32A0110:38"
LAOI-3.2a,04/25/2007,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.8,1.08,,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,GU07040GI32A01,,,185012,17:12,,,,"LAOI-3.2a39197Dioxane[1,4-]10.8GU07040GI32A0117:12"
LAOI-3.2a,07/30/2007,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,11.1,1.11,,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,GU07070GI32A01,,,190642,13:42,,,,"LAOI-3.2a39293Dioxane[1,4-]11.1GU07070GI32A0113:42"
LAOI-3.2a,01/23/2008,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,2.61,1.1,11,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CALA-08-9869,INV,LA Watershed GW Sampling Event 2 Jan. 2008,08-568,13:57,,,,"LAOI-3.2a39470Dioxane[1,4-]2.61CALA-08-986913:57"
LAOI-3.2a,09/05/2008,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.5,1.1,11,,,ug/L,1,WG,U,UJ,SV7c,Y,GELC,CALA-08-13896,INV,"Los Alamos Watershed Sampling Q1 July 2008, IFWGWMP 2008",08-1854,10:10,,,,"LAOI-3.2a39696Dioxane[1,4-]10.5CALA-08-1389610:10"
LAOI-3.2a,01/12/2009,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.5,1.1,11,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-09-1737,INV,"Los Alamos Watershed Sampling S2 Jan. 2009, IFWGMP 2008",09-611,10:58,,,,"LAOI-3.2a39825Dioxane[1,4-]10.5CALA-09-173710:58"
LAOI-3.2a,01/08/2010,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,11.8,2.4,12,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-10-9171,INV,"Los Alamos Watershed Sampling SE2, January 2010, IFWGMP 2009",10-1184,10:50,,,,"LAOI-3.2a40186Dioxane[1,4-]11.8CALA-10-917110:50"
LAOI-3.2a,08/20/2010,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.9,2.2,11,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-10-25221,INV,"Los Alamos Watershed Sampling Q1, August 2010, IFWGMP 2010",10-4278,11:07,,,,"LAOI-3.2a40410Dioxane[1,4-]10.9CALA-10-2522111:07"
LAOI-3.2a,03/22/2011,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,11,2.2,11,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-11-5159,INV,"Los Alamos Watershed Sampling Q3, March 2011, 2010 Interim Plan",11-1724,12:04,,,,"LAOI-3.2a40624Dioxane[1,4-]11CALA-11-515912:04"
LAOI-3.2a,09/13/2012,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10,3,10,,,ug/L,1,WG,U,UJ,SV12a,Y,GELC,CALA-12-22818,INV,LA/Pueblo (TA-21) MY2012 Q4 Watershed Sampling,12-1555,12:19,,,,"LAOI-3.2a41165Dioxane[1,4-]10CALA-12-2281812:19"
LAOI-3.2a,08/14/2013,SW-846:8270D_SIM,"Dioxane[1,4-]",123-91-1,,REG,UF,Y,0.33,0.16,1,,,ug/L,,WG,J,J,,,ALSK,LAOI-3.2a-8-14-13-DIOX,,,,10:35,,,,"LAOI-3.2a41500Dioxane[1,4-]0.33LAOI-3.2a-8-14-13-DIOX10:35"
LAOI-3.2a,09/04/2014,SW-846:8270D,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.4,3.13,10.4,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-14-86012,INV,LA/Pueblo (TA-21) Q4 MY2014 Sampling Event,2014-4487,10:00,,,,"LAOI-3.2a41886Dioxane[1,4-]10.4CALA-14-8601210:00"
LAOI-3.2a,09/17/2015,SW-846:8270D,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,5,1.5,5,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CALA-15-103979,INV,LA/Pueblo (TA-21) and LAC Q4 MY2015 Sampling Event,2015-2353,11:14,,,,"LAOI-3.2a42264Dioxane[1,4-]5CALA-15-10397911:14"
LAOI-3.2a,08/30/2016,SW-846:8270D,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,5,1.5,5,,,ug/L,1,WG,U,UJ,SV12a,Y,GELC,CALA-16-124849,INV,LA/Pueblo (TA-21) 2016 Q4 sampling,2016-2284,10:23,,,,"LAOI-3.2a42612Dioxane[1,4-]5CALA-16-12484910:23"
MCOI-5,06/26/2006,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,9.2,1,,,,ug/L,1,WG,J,J,SWQ1,Y,GELC,GU060600GMC501,,,166076,12:53,,,,"MCOI-538894Dioxane[1,4-]9.2GU060600GMC50112:53"
MCOI-5,10/19/2006,SW-846:8260B,"Dioxane[1,4-]",123-91-1,INIT,FD,UF,Y,22.3,20,,,,ug/L,1,WG,J,J,V7b,Y,GELC,GU061000GMC520,,,174666,10:42,,,,"MCOI-539009Dioxane[1,4-]22.3GU061000GMC52010:42"
MCOI-5,03/05/2007,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,4.93,1.11,,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,GU070200GMC501,,,181928,13:18,,,,"MCOI-539146Dioxane[1,4-]4.93GU070200GMC50113:18"
MCOI-5,06/04/2007,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,10.4,1.04,,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,GU070500GMC501,,,187192,12:29,,,,"MCOI-539237Dioxane[1,4-]10.4GU070500GMC50112:29"
MCOI-5,08/23/2007,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,6.79,1,,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,GU070800GMC501,,,192433,10:25,,,,"MCOI-539317Dioxane[1,4-]6.79GU070800GMC50110:25"
MCOI-5,11/12/2007,SW-846:8260B,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,50,20,50,,,ug/L,1,WG,U,U,U_LAB,Y,GELC,CAMO-08-8624,IGMP,Mortandad Canyon Part 2 Water IGWMP NOV 07,08-167,14:55,,,,"MCOI-539398Dioxane[1,4-]50CAMO-08-862414:55"
MCOI-5,08/18/2008,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,N,5.93,2,20,,,ug/L,1,WG,J,U,SV8,Y,GELC,CAMO-08-14497,INV,"Mortandad Watershed Sampling Q1 August 2008, IFWGWMP 2008",08-1709,16:26,,,,"MCOI-539678Dioxane[1,4-]5.93CAMO-08-1449716:26"
MCOI-5,11/11/2008,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,5.34,1.1,11,,,ug/L,1,WG,J,J,SV7c,Y,GELC,CAMO-09-782,INV,"Mortandad Watershed Sampling Q2 Nov. 2008, IFWGMP 2008",09-262,11:30,,,,"MCOI-539763Dioxane[1,4-]5.34CAMO-09-78211:30"
MCOI-5,02/09/2009,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,5.21,1.1,11,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CAMO-09-2599,INV,"Mortandad Watershed Sampling Q3 Feb. 2009, IFWGMP 2008",09-850,15:20,,,,"MCOI-539853Dioxane[1,4-]5.21CAMO-09-259915:20"
MCOI-5,05/04/2009,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,5.82,1.1,11,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CAMO-09-8163,INV,"Mortandad Watershed Sampling Event 4, May 2009, IFWGMP 2008",09-1718,13:39,,,,"MCOI-539937Dioxane[1,4-]5.82CAMO-09-816313:39"
MCOI-5,08/06/2009,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,6.17,2.2,11,,,ug/L,1,WG,J,J,SV7c,Y,GELC,CAMO-09-9532,INV,"Mortandad Watershed Sampling Q1, August 2009, IFWGMP 2009",09-2806,13:10,,,,"MCOI-540031Dioxane[1,4-]6.17CAMO-09-953213:10"
MCOI-5,11/03/2009,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,7.08,2.2,11,,,ug/L,1,WG,J,J,SV7c,Y,GELC,CAMO-10-3119,INV,"Mortandad Watershed Sampling Qtr 2, Nov. 2009, IFWGMP 2009",10-337,15:48,,,,"MCOI-540120Dioxane[1,4-]7.08CAMO-10-311915:48"
MCOI-5,01/25/2010,SW-846:8270C,"Dioxane[1,4-]",123-91-1,INIT,REG,UF,Y,7.08,2.2,11,,,ug/L,1,WG,J,J,J_LAB,Y,GELC,CAMO-10-9315,INV,"Mortandad Watershed Sampling Q3, February 2010, IFWGMP 2009",10-1413,13:32,,,,"MCOI-540203Dioxane[1,4-]7.08CAMO-10-931513:32"
